epoch,acc,loss,mean_iou,val_acc,val_loss,val_mean_iou
0,0.9605803254385327,0.03210880224441373,0.9095766148161749,0.9475612096164537,0.0460989060609237,0.877447196646877
1,0.9600396384868679,0.0325121756099319,0.9075614325723853,0.9424414245978646,0.05162701205067013,0.8814425277321235
2,0.9596909393108175,0.03289734562207248,0.9086874303492632,0.9331581190876339,0.05866583728271982,0.8737374971742216
3,0.9609448150144018,0.031586964781673915,0.9108497959730075,0.9503063585447229,0.043950984011525696,0.8861615907238878
4,0.9607736313642284,0.03202481399178159,0.9102619382606779,0.961148664355278,0.034698040589042335,0.8991387901098832
5,0.9610195172996479,0.031711841985961685,0.9099680008433498,0.9359031656514043,0.05655298414437667,0.8761214701377827
6,0.9608813977000047,0.031694574763571993,0.9101886111541783,0.9492172087016313,0.04463742090308148,0.892084961352141
7,0.9614134341172179,0.031245460726189323,0.9112100974144134,0.9396921001050783,0.05373620598212532,0.8750991869879805
8,0.9620485446594741,0.03071377381471544,0.9116228523383101,0.9557873204998348,0.03927190537038057,0.8887384971198828
9,0.9624937698894934,0.030468639652843185,0.9125865710396295,0.9521689771310143,0.04223906281201736,0.890936193258866
10,0.9623499921984995,0.030918393530316952,0.911684313894797,0.9488669951324877,0.046332503790440766,0.8786994442343712
11,0.9630813535319486,0.030341152284445286,0.9130052575210795,0.9509821540635565,0.04342091472252556,0.8865075921234877
12,0.962404910493068,0.030726553941909877,0.9118918865416534,0.9435666456170704,0.05073916458565256,0.8846835847134176
13,0.9637466382208572,0.029500915522860983,0.9132476106999479,0.9487128134654916,0.0463125634452571,0.8842667474046998
14,0.9636648064968452,0.02949076954489832,0.9134056288637055,0.949306110325067,0.046542527235072594,0.8845800569523936
15,0.9636612264170483,0.029697116665841072,0.9137080101414369,0.9574804629968561,0.037536562784858375,0.9020718174136203
16,0.9646160791729698,0.028665064130556816,0.9144038832691387,0.9527615133834921,0.04184772462948509,0.8851738808595616
17,0.9637781465196822,0.02944472833043916,0.9146760835894135,0.9335751157739888,0.05968200512554334,0.8710204366108646
18,0.9651343342083604,0.028232165320734342,0.9159674008824054,0.950351190307866,0.04314951663431914,0.8829513448088065
19,0.9649123373298965,0.028703692541563318,0.9146046995897121,0.9586041699285093,0.036438923815022346,0.897992809181628
20,0.9647141818529784,0.028667167398120388,0.9158729052683438,0.9494199577880942,0.04433408768280693,0.8865971173281255
21,0.9654758215574452,0.028085583762088286,0.9178023842542664,0.9480177915614584,0.045894178359404854,0.8802515478885692
22,0.9647050813276608,0.028717671731318308,0.9154419195405918,0.9506167756474536,0.04353702910568403,0.8882081715956979
23,0.9654542251765716,0.02812229657813222,0.9159917766345659,0.9546110228351925,0.04087622204552526,0.892435928725678
24,0.9663068329925153,0.0275902309651568,0.9153944366423976,0.9420038299716037,0.05188479436480481,0.8783233713196672
25,0.9657011965629457,0.027723635726484317,0.9162892795800238,0.9455953000680261,0.04840938487778539,0.886291424865308
26,0.9657437615176,0.027855404814585025,0.916200086514856,0.9561493040426917,0.039200350642204285,0.8966735918884692
27,0.9653846608400114,0.028208415902592134,0.9151635130989757,0.955417658323827,0.04017386553080186,0.8911515853327253
28,0.9663595469608213,0.027539015653914874,0.917979352997934,0.95437275002832,0.04066906934199126,0.8955868456674658
29,0.9665487159948336,0.02723046111596095,0.9176173823145292,0.9574198794105778,0.03791331208270529,0.8874896048851635
30,0.9660157289707654,0.027639384145167336,0.9180792146446308,0.94752715398436,0.047176473166631615,0.8872537868826286
